geographic_unit_fips,baseline_dem,baseline_gop,baseline_turnout
48005,0.2588492540368368,0.7280518940508072,0.4362242786432036
48007,0.2380389968569884,0.7459731467892836,0.4804451340217217
48009,0.10013988157927114,0.8870126761417108,0.5435109906654622
48011,0.07668522504080671,0.9099369375099883,0.6092579986385296
48013,0.3420624031027706,0.6420364923845037,0.3577852230647152
48015,0.18927549141353656,0.7959671297971289,0.5230732748399336
48017,0.228680682586054,0.7577565612041162,0.36367753623188404
48019,0.18258744527588724,0.7991033755965729,0.5250821467688938
48021,0.3934247650421593,0.5748567350733846,0.4695056122011824
48023,0.12682924825888828,0.8555146240543294,0.45720637273064096
48025,0.37706917869786577,0.6056059397203648,0.2861356932153392
48027,0.41148945326026204,0.5609321800516388,0.35367416194885526
48029,0.5397378780046044,0.4338759416440465,0.407963241294708
48031,0.23852463596386567,0.7377396172111619,0.6223821286650199
48033,0.06542370197716851,0.9244752876140875,0.7704545454545455
48035,0.16839205258452605,0.813796838937608,0.5206575501891184
48037,0.2711031276525905,0.7153954759539345,0.4070886877437366
48039,0.3587595196713201,0.6197802285780092,0.44703515493499624
48041,0.3591292536834331,0.6038001325041156,0.3977437550362611
48043,0.4602672849957735,0.5025819882186747,0.585471317382531
48045,0.12274802280841922,0.8615954437658351,0.6101860920666013
48047,0.6910288126537334,0.3002846273201277,0.3851546391752577
48049,0.12579956904544826,0.8592570037410371,0.42700156985871274
48051,0.2198808372491513,0.7666843603251448,0.49088745071784573
48053,0.21120151589606384,0.7669966266720438,0.5213468619129261
48055,0.4166893043145945,0.554446789018262,0.3943889845094664
48057,0.30139316660338444,0.6817742986839523,0.40710673409635345
